"scenario_id","study","rep","generator","n","nu","ok","convergence","strict_success","logLik","grad_norm","alpha_grad_norm","hat_mu1","hat_mu2","hat_sigma1","hat_sigma2","hat_rho","hat_delta1","hat_delta2","hat_alpha1","hat_alpha2","hat_lambda1","hat_lambda2","hat_alpha_norm","hat_alpha_angle","true_mu1","true_mu2","true_sigma1","true_sigma2","true_rho","true_delta1","true_delta2","true_alpha1","true_alpha2","true_lambda1","true_lambda2","true_alpha_norm","true_alpha_angle","cover_obs_rho","cover_sand_rho","cover_obs_delta1","cover_sand_delta1","cover_obs_delta2","cover_sand_delta2","cover_obs_alpha1","cover_sand_alpha1","cover_obs_alpha2","cover_sand_alpha2","source_file"
"baseline_gaussian_n300","baseline_accuracy",236,"gaussian",300,6,TRUE,0,FALSE,-621.236972440924,0.0723789334109121,0.00471113914234861,0.364073387538593,-0.22986228269981,1.01700377428066,0.858970114852342,0.410315326140155,0.61855199364562,0.336203672463978,0.793143026762719,-0.602135706673774,1.04627429919826,-0.76868480194515,0.995812869044105,-37.2049212938261,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"baseline_gaussian_n300","baseline_accuracy",364,"gaussian",300,6,TRUE,0,FALSE,-602.887272496248,0.0228644705775934,0.0136153553620644,0.410598348519782,-0.199953980084073,1.00531531499673,0.874367006510359,0.429412318159368,0.478110924121632,0.541166939109351,0.963113946486531,-0.657062232431738,1.26879151644251,-0.83209476051604,1.16589847379823,-34.3028597628995,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"baseline_gaussian_n300","baseline_accuracy",492,"gaussian",300,6,TRUE,0,FALSE,-599.842972878876,0.0334235373480676,0.011172599776921,0.33782076782401,-0.208170463240984,1.13764900839382,0.891139230065713,0.364165785192386,0.782057081287061,0.435079495045674,1.0956910569037,-0.709804853834909,1.20708190175867,-0.85523975162609,1.30551209213333,-32.9357625982687,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"baseline_gaussian_n300","baseline_accuracy",620,"gaussian",300,6,TRUE,0,TRUE,-607.157439167526,0.0349945944144138,0.00462768013625762,0.298873750988739,-0.209148257990233,1.20505343435875,0.87836674526687,0.365212484740626,0.758782082290198,0.553635105995539,1.1644864524209,-0.655579717743763,1.17976351071497,-0.801743245677929,1.33634331823405,-29.3785339164154,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"baseline_gaussian_n300","baseline_accuracy",748,"gaussian",300,6,TRUE,0,FALSE,-610.773584145829,0.115502405300446,0.0318658692270017,0.362299746525332,-0.280423099772067,1.13022615563744,0.908427354642177,0.435386683057466,0.832877385532477,0.369865264111891,1.01012015434461,-0.632250073410014,1.16427724142893,-0.773105335013148,1.19167230459558,-32.0430962626303,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"baseline_gaussian_n300","baseline_accuracy",876,"gaussian",300,6,TRUE,0,FALSE,-618.686396677472,0.529985674108611,0.0230645365530545,0.291753937132314,-0.29615857508508,1.13320896308397,0.884325769856371,0.446926187145961,0.702314336579106,0.449890240871065,1.00071109909628,-0.491608844040532,1.09981313864145,-0.621430650754519,1.11494482347484,-26.1630176067655,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"robust_rmse_gaussian","robust_rmse",108,"gaussian",300,6,TRUE,0,FALSE,-585.479974845386,0.0852487957258875,0.00704494831744805,0.299005501149504,-0.225991163641134,1.17710540120559,0.87606070791178,0.46399059906739,0.794130822273676,0.41158580928051,1.37686244371005,-0.635566818979909,1.45251513060527,-0.818976926494028,1.51647465204251,-24.7782912846096,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"robust_rmse_t6","robust_rmse",108,"t",300,6,TRUE,0,FALSE,-714.338267670257,0.0857889570635428,0.00143571077052352,0.369723493029122,-0.346689259660212,1.02546447133689,0.945220358885951,0.387894440294585,0.696500877158449,0.392634341074645,0.90170449140244,-0.422097008894812,1.05253954526553,-0.484493357631196,0.995608796030489,-25.0847701767462,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
"coverage_gaussian_n150","coverage",108,"gaussian",150,6,TRUE,0,TRUE,-294.712030823229,0.0162772231046297,0.000467839084233747,0.296079743305701,-0.303031111576104,1.08900853616683,0.897118926132247,0.445518100357286,0.919402701551051,0.398656548456835,0.983918361422543,-0.644924808437065,1.19820435041612,-0.802977933200473,1.17644521779894,-33.2434696275111,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"chunk_0107.csv"
"coverage_gaussian_n300","coverage",108,"gaussian",300,6,TRUE,0,FALSE,-622.903541784358,0.986506533749066,0.0525296638540472,0.230872390774543,-0.325026847616663,1.22109014466908,0.877485277384651,0.364031894151476,0.641018424557106,0.329678807109766,1.44685530508636,-0.636878480611358,1.38874178628925,-0.779267933582952,1.58082398543366,-23.7581911743876,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"chunk_0107.csv"
